"Step","TD3 high lr, shooting pre - avg_reward per ep","TD3 high lr, shooting pre - avg_reward per ep__MIN","TD3 high lr, shooting pre - avg_reward per ep__MAX","TD3 high lr - avg_reward per ep","TD3 high lr - avg_reward per ep__MIN","TD3 high lr - avg_reward per ep__MAX","TD3 high lr, shooting - avg_reward per ep","TD3 high lr, shooting - avg_reward per ep__MIN","TD3 high lr, shooting - avg_reward per ep__MAX","TD3 high lr, 4 rewards, shooting - avg_reward per ep","TD3 high lr, 4 rewards, shooting - avg_reward per ep__MIN","TD3 high lr, 4 rewards, shooting - avg_reward per ep__MAX","TD3 retrained def ->shooting 4 rewards - avg_reward per ep","TD3 retrained def ->shooting 4 rewards - avg_reward per ep__MIN","TD3 retrained def ->shooting 4 rewards - avg_reward per ep__MAX","TD3 pretrained def -> shooting - avg_reward per ep","TD3 pretrained def -> shooting - avg_reward per ep__MIN","TD3 pretrained def -> shooting - avg_reward per ep__MAX","TD3 defense - avg_reward per ep","TD3 defense - avg_reward per ep__MIN","TD3 defense - avg_reward per ep__MAX","TD3 big buffer continue - avg_reward per ep","TD3 big buffer continue - avg_reward per ep__MIN","TD3 big buffer continue - avg_reward per ep__MAX","TD3 big buffer 2nd try - avg_reward per ep","TD3 big buffer 2nd try - avg_reward per ep__MIN","TD3 big buffer 2nd try - avg_reward per ep__MAX","TD3 32 grad every epoch - avg_reward per ep","TD3 32 grad every epoch - avg_reward per ep__MIN","TD3 32 grad every epoch - avg_reward per ep__MAX"
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.7445264666059557","-2.7445264666059557","-2.7445264666059557"
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.9421444350524584","-2.9421444350524584","-2.9421444350524584"
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.9727830970731612","-1.9727830970731612","-1.9727830970731612"
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.791385536128295","-2.791385536128295","-2.791385536128295"
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.4796874121906756","-2.4796874121906756","-2.4796874121906756"
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.7355313857419667","-2.7355313857419667","-2.7355313857419667"
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.1483944549475154","-3.1483944549475154","-3.1483944549475154"
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.6681206163773012","-3.6681206163773012","-3.6681206163773012"
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.576248274305688","-2.576248274305688","-2.576248274305688"
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.705497364462437","-3.705497364462437","-3.705497364462437"
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.769710272337905","-2.769710272337905","-2.769710272337905"
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.7893368510846854","-2.7893368510846854","-2.7893368510846854"
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.963122687920366","-2.963122687920366","-2.963122687920366"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.592113888429929","-2.592113888429929","-2.592113888429929"
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.057506506622698","-3.057506506622698","-3.057506506622698"
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.1764948216039395","-3.1764948216039395","-3.1764948216039395"
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.678344859667091","-2.678344859667091","-2.678344859667091"
